NAMUKHULA GRACE WATUWA,1,UG
WOPUWA GEORGE WILLIAM,1,UG
KAMPIKAHO ALEXANDER,1,UG
KAMUSIIME CAROLINE,1,UG
AVUR JANE PACUTO,1,UG
OMITO ROBERT STEEN,1,UG
SSENTONGO ROBINA NAKASIRYE,1,UG
KINTU PATRICK KISEKULO,1,UG
ATEGEKA JAMES,1,UG
MUTUUZO PEACE REGIS,1,UG
ASINDE BRENDA SUUBI,1,UG
KYABAGGU RICHARD,1,UG
AKELLO ROSE LILLY,1,UG
TABAN IDI AMIN,1,UG
NOKRACH WILSON WILLIAM,1,UG
KATURAMU HOOD KIRIBEDDA,1,UG
KYAGULANYI SSENTAMU ROBERT,1,UG
ETUKA ISAAC JOAKINO,1,UG
KOLUO JOSEPH ANDREW,1,UG
WALYOMU MUWANIKA MOSES,1,UG
WATONGOLA REHEMA,1,UG
ACHIRO LUCY OTIM,1,UG
AKAMPULIRA PROSSY MBABAZI,2,UG
JOGO KENETH BIRYABAREMA,1,UG
BYARUHANGA STEPHEN MFASHINGABO,1,UG
MBABAZI JANEPHER KYOMUHENDO,2,UG
SENTAYI SENKUSU JOSEPH,1,UG
KISEMBO BASEMERA NOELINE,1,UG
OKELLO PETER DOUGLAS,1,UG
LAMWAKA CATHERINE,1,UG
